GeneID	GSM1244809	GSM1244810	GSM1244811	GSM1244812	GSM1244813	GSM1244814	GSM1244815	GSM1244816	GSM1244817	GSM1244818	GSM1244819	GSM1244820	GSM1244821	GSM1244822
140733	61	63	47	78	65	64	85	89	132	117	105	131	124	247
23767	823	927	902	981	1140	1087	1315	1437	1764	1409	1765	1780	2194	3359
140848	0	0	0	0	0	0	1	0	0	0	0	1	1	0
100379174	0	0	0	2	0	0	0	1	0	0	3	1	0	3
107985394	0	0	0	0	0	0	0	1	0	1	1	0	0	0
613266	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55614	739	768	771	774	863	868	980	734	1178	1014	986	920	1079	1813
105372541	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105372542	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6629	1855	1497	1367	1611	1697	1884	1972	1689	2087	1836	1700	2036	2104	3722
56914	0	0	0	0	0	0	0	1	0	0	1	0	0	3
105372544	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105372545	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5126	0	2	0	0	0	0	1	2	6	0	2	3	8	3
105372546	0	0	0	1	0	0	0	0	0	0	0	0	0	0
631	141	116	114	135	122	117	187	144	185	148	163	189	209	337
11034	8548	7173	7194	7949	7157	9027	9942	9915	11195	9627	10406	12127	13268	21188
6238	2612	1921	2832	1697	2904	2294	2645	1702	4468	2963	3217	2914	3690	5439
140836	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105372547	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107985440	0	0	0	0	0	0	0	0	1	0	0	0	0	0
105372548	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105372549	16	13	17	10	8	16	16	14	9	8	18	10	17	22
27131	4950	4364	4289	4484	4427	5283	5772	4004	5211	4461	4474	5009	5555	9202
692086	17	22	17	19	22	20	26	6	6	13	11	11	11	25
92667	1197	1025	1061	1051	1146	1262	1348	1166	1654	1371	1459	1406	1775	2821
58495	111	80	96	87	103	97	108	51	112	88	96	87	99	183
100303755	310	262	273	264	275	284	324	229	348	281	292	340	372	571
57325	967	828	887	857	949	952	1026	796	1264	1060	1085	1095	1248	2125
105372551	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7692	364	326	376	317	422	339	421	329	658	445	518	526	572	928
105372550	4	5	6	3	3	4	4	1	2	6	4	5	5	6
107985418	0	0	0	0	0	0	0	0	0	0	0	0	0	0
440757	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55184	121	135	119	104	113	134	138	141	224	140	171	135	177	314
10621	590	531	530	539	475	589	658	450	658	500	543	584	669	1142
100422875	0	0	0	0	1	0	0	0	0	0	1	0	0	0
10741	851	847	817	860	832	989	1111	903	1128	931	997	1013	1179	1997
10483	3277	2962	3034	2917	3570	3597	3928	2950	4489	3702	3703	3620	4501	7710
388789	757	534	584	572	696	741	798	857	1260	1008	898	1051	1199	2035
92675	1730	1181	1474	1397	1645	1524	1760	1314	2314	1811	1638	1952	2242	3712
101929526	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107985399	5	3	5	7	5	6	9	6	11	9	8	9	6	20
29075	2	5	6	2	4	11	6	8	17	12	15	9	16	24
100270804	46	60	59	35	52	44	44	72	113	71	117	77	107	151
100128496	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140856	0	0	0	0	0	0	0	0	0	1	0	0	0	0
102724734	14	9	7	8	11	11	10	9	15	12	11	8	10	31
107985442	1	0	1	0	0	1	1	1	3	2	1	2	0	2
101929547	39	53	56	51	63	58	64	96	176	114	139	102	162	240
57419	526	427	550	443	551	545	619	603	1130	964	846	857	1046	1787
100130264	2	1	0	0	0	0	1	0	1	0	1	1	0	0
107987276	21	15	13	11	21	14	16	21	60	36	32	33	43	63
54453	264	234	255	208	271	270	308	485	876	708	763	725	882	1376
51126	3042	2502	2266	2690	2886	2866	3473	2594	3523	2894	2923	3458	3780	6311
105372553	15	38	36	13	14	21	20	10	28	11	26	8	19	22
51340	1319	1288	1224	1252	1394	1566	1733	1616	2075	1673	1839	1997	2185	3557
26074	3	4	3	1	2	1	2	3	0	4	5	4	7	4
105372554	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107985413	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101929575	0	0	0	0	0	0	0	1	0	0	0	0	0	3
3642	0	3	1	0	0	0	1	0	1	1	0	0	1	2
57186	1723	2213	2391	1610	2133	2133	2265	1793	2989	2585	2627	2373	2721	4702
105372555	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105372556	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55857	170	174	176	158	184	198	209	200	349	259	294	283	376	503
101929591	1	1	0	0	1	0	0	0	2	0	1	0	0	0
22803	4071	4072	4036	4078	4303	4937	5170	4319	6118	5171	5261	5526	6400	10691
644524	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105372558	0	1	0	0	0	0	0	0	0	0	0	0	0	0
112268271	1	0	1	0	0	0	0	1	2	0	1	0	0	1
4821	2	1	1	0	1	1	1	1	1	1	1	1	1	1
101929625	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101929608	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5075	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100270679	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105372560	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105372561	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101929663	0	0	0	0	0	0	0	0	0	0	0	0	0	0
284788	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105372562	0	0	0	1	0	0	0	0	0	0	0	0	0	0
105372563	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105372564	0	0	0	0	0	0	0	0	0	0	0	0	0	1
140828	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3170	0	0	0	1	0	0	0	0	1	0	0	1	0	1
101929685	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105372566	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105372567	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105372568	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107985449	64	61	72	85	86	71	85	88	123	100	107	107	130	219
101929707	2	2	2	2	0	0	2	3	4	1	2	1	1	12
105372569	0	0	0	0	0	0	0	0	1	1	0	0	0	0
6754	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7056	450	305	404	389	429	399	515	409	569	527	504	549	564	1016
22918	0	0	0	0	0	0	0	1	0	0	1	1	0	3
200261	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100505664	2	1	0	0	1	1	4	0	0	1	0	2	1	2
105372572	2	5	1	3	2	1	1	0	0	2	1	1	4	2
105372571	3	0	2	2	1	1	0	0	2	2	1	1	1	0
29107	719	462	511	484	570	566	673	357	546	521	422	492	584	993
100505683	9	3	6	7	6	4	2	4	13	9	11	4	16	15
64412	769	731	839	707	876	811	927	670	1086	784	945	850	1015	1676
63908	343	396	398	330	374	342	428	349	538	409	530	412	533	831
128817	3	4	4	6	1	3	6	5	12	6	7	8	4	10
140880	1	0	0	0	0	0	0	0	0	0	0	0	0	1
10047	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164380	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128821	0	0	0	0	0	0	1	0	0	0	0	0	0	0
128822	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1471	2309	1156	1782	1435	1843	1594	1824	1560	3930	2832	2429	2697	3628	5250
107985383	0	0	0	0	1	0	0	0	0	0	1	1	0	0
105372573	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1472	0	2	1	0	0	0	1	0	3	1	2	0	2	3
105372574	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1469	3	0	2	0	1	1	0	1	4	1	2	0	2	3
107985432	0	0	0	0	0	0	0	0	0	1	0	0	0	0
105372575	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1470	0	0	1	0	0	1	1	0	0	0	0	1	2	2
1473	1	2	4	1	3	1	1	2	6	2	1	2	3	6
92086	1	0	1	0	1	0	1	0	1	0	1	0	0	1
107985438	2	1	1	1	1	1	1	1	1	0	0	0	0	1
105372576	0	0	0	0	0	0	0	0	1	0	0	0	0	0
400839	0	1	0	0	0	0	0	0	0	0	0	0	0	0
105372577	0	1	1	0	4	1	0	0	2	2	1	0	1	2
105372585	2	1	1	3	6	2	0	0	0	0	0	1	0	0
79953	86	49	63	52	72	80	69	12	26	21	10	18	15	21
107985402	5	2	2	5	2	3	1	2	9	3	7	3	7	5
105372578	945	806	807	846	978	982	1126	1430	2369	1785	1747	1953	2360	4007
8530	3	2	4	0	4	0	3	0	1	1	4	0	0	4
57136	5814	4281	4867	4697	6098	5574	6419	5628	9518	8173	7069	7898	9417	16252
84532	1132	763	1077	749	1111	1082	1107	1282	3161	2074	1941	1911	2640	3831
30813	18	13	20	12	22	19	12	15	32	20	17	14	25	34
284798	1	0	0	0	0	0	0	0	0	0	0	0	0	0
101926889	8	17	13	5	12	7	13	19	30	19	22	16	25	49
955	1889	1188	1782	1160	1758	1439	1666	1236	2875	2039	1998	2021	2605	3740
105372579	19	27	28	13	29	17	15	14	46	26	32	23	41	50
5834	3430	2025	3303	2250	3429	2672	3345	2333	5829	3844	3812	3925	5009	7224
26090	1636	998	1427	1115	1557	1413	1564	1286	2637	2056	1909	2077	2545	3913
105372581	3	4	3	5	6	1	7	1	5	1	2	1	3	3
9837	1493	1410	1487	1409	1546	1664	1834	868	1173	941	999	959	1137	1957
22981	657	540	703	472	625	546	610	458	1061	730	792	698	894	1348
140838	503	517	498	469	485	534	613	413	585	470	554	499	629	1032
102724826	173	207	193	136	202	156	221	171	315	236	239	217	330	456
26152	991	1073	1031	805	1030	855	1060	899	1477	1148	1536	1074	1564	2306
107985400	8	8	3	4	5	7	12	9	13	15	20	14	12	25
105372582	66	57	56	51	46	64	80	55	94	97	88	69	104	143
728882	13	10	12	9	7	12	11	16	20	17	21	16	17	39
101926935	17	20	14	9	21	12	22	25	62	32	45	21	54	61
101926955	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100134868	66	61	62	53	65	72	77	87	143	108	98	100	121	197
284800	5	5	5	3	5	5	2	7	12	10	8	8	8	13
149934	9	15	13	11	15	15	17	16	19	18	21	16	21	28
284801	0	0	0	0	0	0	0	0	0	0	0	0	0	0
724033	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100289097	58	56	55	63	53	71	73	64	91	79	82	74	102	143
102723316	29	30	25	30	23	24	26	26	50	33	36	39	33	57
105379476	5	10	8	5	4	8	9	5	9	10	11	7	8	14
647476	0	1	0	0	0	0	0	1	1	0	0	1	1	0
105379477	10	11	10	11	12	5	12	17	27	28	21	22	32	46
102723390	40	40	31	36	34	38	50	47	70	53	49	58	65	104
105379478	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400841	0	0	0	0	0	0	0	0	0	1	0	0	1	0
107985433	0	0	2	0	0	1	0	0	0	0	0	0	0	0
105372586	0	0	1	0	0	0	0	0	1	0	0	0	0	0
105372587	0	1	0	0	0	0	0	0	0	1	1	0	0	1
284802	321	314	368	332	392	415	423	416	709	543	567	583	681	1116
140678	2	5	5	3	1	1	2	5	8	3	4	4	6	6
105379481	38	16	24	134	21	11	22	14	42	26	33	37	49	64
107987280	16	19	17	16	22	25	30	14	28	30	20	15	22	35
102723552	4	5	6	2	6	9	5	6	10	4	8	4	4	10
245929	0	0	0	0	0	0	0	0	0	0	0	0	0	0
245930	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117285	0	0	0	1	0	0	0	0	1	0	0	0	0	0
245932	0	0	0	0	0	0	0	0	0	0	0	0	0	0
245934	0	0	0	0	0	0	0	0	0	0	0	0	0	0
245935	1	0	1	0	0	0	0	0	0	0	0	0	0	1
245936	0	0	0	0	0	0	0	0	0	0	0	0	0	0
245937	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28954	0	0	0	0	0	0	0	0	1	0	0	0	0	0
140875	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81502	3573	2450	2922	2790	3443	3206	3537	2597	4918	4161	3851	3884	4864	8257
100874042	12	18	16	12	13	12	11	7	25	17	19	18	17	26
107985416	5	2	6	3	6	1	5	9	15	9	13	6	10	13
105372588	0	0	1	0	0	1	0	0	0	1	1	0	1	0
3397	174	106	166	84	104	105	105	173	553	301	247	274	254	505
100422904	0	0	0	0	0	0	0	0	0	0	1	0	0	0
84701	0	0	0	0	0	0	0	0	0	1	0	1	2	0
598	1851	1217	1601	1394	2099	1740	2033	2398	5010	4133	3521	3666	4866	7928
105372589	0	0	0	1	2	1	0	0	1	3	1	2	4	2
103021294	420	328	415	312	502	428	484	621	1248	941	856	965	1130	1839
22974	4608	4440	4210	4412	4896	5063	5803	3367	4905	3967	3906	3903	4378	7543
85366	8	8	9	10	10	11	10	3	13	10	9	7	10	28
2307	0	0	0	0	0	0	0	0	0	0	0	0	0	1
128853	7	2	5	1	5	2	6	7	9	8	3	13	10	15
164395	12	16	8	11	12	12	16	11	20	23	20	13	16	36
81572	1089	667	829	781	1123	885	1076	813	1487	1231	1069	1169	1440	2342
343702	8	8	12	5	11	11	9	11	17	15	13	9	18	25
140706	68	42	55	32	53	49	48	12	33	21	12	21	25	46
3055	6	7	10	6	11	10	15	4	2	3	2	1	2	9
9777	2628	2121	2522	2222	2912	2360	2825	2314	4339	3652	3506	3239	4266	6940
107985403	111	107	123	97	145	116	142	118	216	174	174	156	208	321
128854	14	3	18	11	23	12	13	14	23	16	21	26	29	37
5326	1035	1072	1169	963	1240	1104	1270	938	1761	1558	1504	1298	1640	2707
23509	1718	1472	1663	1595	1874	1883	2080	1417	2362	2020	1917	1943	2358	3805
100302183	27	15	20	20	19	19	26	16	30	22	18	21	25	43
9371	1926	2226	2144	1897	2450	2246	2412	2331	3798	3217	3377	2975	3764	6219
171023	1542	1723	1966	1386	1778	1613	1806	1420	2654	2125	2392	1931	2585	3902
140688	639	622	861	526	742	603	649	560	1183	853	966	761	974	1593
101929698	3	7	9	4	6	8	7	9	11	12	10	10	13	21
105372592	0	1	0	0	0	0	0	0	0	0	0	0	0	0
149950	1	0	0	0	0	0	0	0	3	0	2	3	6	4
284805	1	0	1	3	2	1	2	0	4	3	0	2	2	3
149951	983	720	824	821	947	995	1062	1040	1620	1451	1333	1442	1688	2777
1789	450	441	485	329	452	414	469	339	671	420	522	420	575	860
22919	4239	3736	3918	3796	4432	4425	4999	3628	5003	4150	4276	4549	5151	8640
388795	42	27	27	20	19	19	19	21	39	26	31	25	29	48
140732	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80341	0	0	0	0	1	0	0	0	1	1	2	0	0	0
128859	0	0	0	0	0	0	0	0	0	0	0	0	1	0
359710	0	0	0	0	0	0	0	0	0	0	0	0	0	0
149954	0	0	0	0	0	0	0	0	0	0	0	0	1	0
105372714	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140683	2	0	2	0	2	3	4	7	19	17	21	7	29	41
317716	34	31	36	22	54	43	40	124	262	138	283	136	294	342
128861	0	0	1	0	0	0	0	0	1	0	0	0	0	0
51297	5	3	1	3	3	4	6	7	5	14	6	8	6	8
105372593	0	0	0	1	0	1	1	1	0	1	1	1	0	1
92747	79	39	74	59	81	75	87	81	239	157	166	174	244	386
105372594	0	0	0	1	1	0	1	0	0	1	1	1	1	3
51654	847	572	708	669	748	671	877	607	991	803	861	818	1077	1621
6640	142	70	124	81	135	97	121	130	305	218	176	252	293	440
9139	809	894	1039	657	964	874	980	876	1734	1246	1513	1151	1632	2397
63941	380	187	399	175	315	218	285	247	765	402	378	392	545	706
128864	6	0	2	1	0	1	1	1	4	1	3	1	1	1
170487	26	15	23	16	26	19	30	28	61	62	30	45	52	81
1869	1502	831	1307	894	1459	1015	1300	379	902	608	569	600	756	1067
11264	630	566	637	531	756	692	730	806	1461	1215	1145	1125	1355	2323
84905	129	59	138	83	112	118	115	77	232	158	178	166	206	290
101929746	3	4	1	1	3	1	10	1	4	5	6	9	8	9
128866	2828	1927	2255	2156	2458	2595	2638	2570	4663	3494	3384	3654	4401	7045
101926888	62	53	58	47	46	61	60	73	92	84	103	100	103	182
22913	4470	2526	3941	2665	4056	3344	3887	2542	5745	3959	3617	4535	5158	7883
100616434	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8894	3918	3076	3142	3263	3521	3772	4307	3176	4245	3581	3557	4087	4622	7838
434	1	1	0	1	6	1	1	0	4	0	1	1	2	1
191	12645	7708	10274	9347	12542	10766	12404	7641	14995	11748	10455	12427	14750	23686
107985381	10	11	12	7	14	12	20	6	28	15	17	15	14	29
83737	2639	3101	3092	3019	3226	3834	4120	3389	4191	3729	4094	4214	4663	7870
693229	0	1	0	0	0	0	0	0	0	0	0	0	0	0
83658	2412	1455	1927	1782	2353	2067	2351	2127	4244	3324	2838	3159	3941	6396
84557	0	1	0	0	0	1	1	1	1	1	1	0	0	2
128869	1178	863	954	1033	1094	1075	1271	798	1254	1059	974	1033	1309	2005
105372599	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58476	72	94	91	92	103	90	105	125	266	222	222	198	269	467
23054	2556	3128	3282	2613	3564	3019	3503	2959	5413	4565	4651	3889	5182	8261
128872	2	5	5	3	4	3	1	1	5	4	4	2	7	9
2686	487	376	579	246	504	364	422	433	1235	616	872	563	970	1154
55902	855	646	793	711	821	790	828	932	1721	1410	1387	1271	1669	2691
2937	2251	1462	1940	1616	2127	1874	2101	1577	3174	2430	2260	2196	2901	4584
57644	14	8	27	10	11	4	7	3	38	12	28	17	21	26
107985393	8	8	11	2	3	6	10	7	19	8	17	9	13	10
574501	0	1	1	0	1	3	1	1	1	0	2	1	0	0
100616134	0	0	1	0	1	1	0	1	1	0	1	1	0	0
26133	3491	2812	3346	2851	3439	3216	3577	2877	5466	3942	4390	3892	5204	7965
111089941	612	438	518	488	630	566	632	555	916	768	693	739	906	1488
55741	624	452	526	488	635	571	635	548	931	772	684	747	914	1493
10544	110	56	71	65	86	68	109	53	89	89	78	83	95	144
10893	46	22	46	32	54	32	43	40	84	58	61	69	88	123
101410538	214	79	222	100	209	157	196	160	399	282	222	260	362	488
3692	5125	3016	4070	3395	4839	3945	4800	2895	6078	4614	4129	4524	5811	8840
140846	3	0	1	0	0	1	1	1	3	1	8	1	3	3
128876	2	1	1	1	1	3	2	0	1	0	3	2	5	2
55245	1154	920	999	935	1238	1131	1282	1025	1721	1422	1350	1410	1734	2838
554250	0	1	1	0	0	1	0	0	0	0	1	1	1	1
8200	1	2	4	0	0	4	3	1	5	5	2	7	6	10
100302125	0	0	0	0	0	0	2	1	1	0	1	0	0	0
11190	2098	2028	2499	1603	2393	1975	2198	1364	3213	2220	2515	1837	2678	3758
102725201	46	55	69	36	70	53	53	31	69	61	72	38	69	103
140873	0	0	0	0	0	0	0	0	0	1	1	0	1	0
51614	10967	7695	9015	9029	11219	10097	11538	10464	20057	16549	14806	15591	20010	33245
80307	1324	1176	1922	584	1045	786	895	1033	4161	1649	2885	1302	2688	2819
6676	140	88	137	73	106	96	109	120	378	199	224	245	283	422
8904	4996	3560	4697	3749	4942	4575	4998	4319	8727	6798	6154	6370	7932	12634
10137	4151	4341	4534	4068	4600	4722	5314	3810	5792	4572	4899	4872	6040	9574
9054	2171	1763	1911	1845	1986	2010	2271	1683	3074	2450	2369	2392	2903	4869
140823	1060	443	850	519	767	590	767	603	1625	1007	792	1100	1191	1889
9584	11507	11430	11538	9226	9928	10741	12370	9001	15349	10315	13384	10772	14689	20529
51230	1451	1564	1624	1491	1725	1757	1938	1618	2517	2085	2123	2008	2473	4040
51282	175	38	177	67	145	85	108	77	363	131	82	219	206	230
140894	13	5	10	8	11	10	11	8	11	18	8	9	23	24
647979	10950	12291	11963	10700	11448	12183	13236	11916	17189	13656	15805	15239	18103	28148
2036	2801	2349	2847	2315	2921	2639	3004	2420	4732	3784	3525	3422	4091	6977
100130373	0	0	4	0	0	1	0	0	0	2	1	0	3	1
105372602	60	53	68	64	67	58	65	50	102	97	85	79	90	172
25980	1979	1331	1676	1612	2001	1849	2103	1639	2977	2459	2228	2220	3038	4767
22839	1929	1391	2060	1457	2019	1788	1972	1686	3530	2889	2612	2452	3188	4815
101926987	7	1	4	5	3	4	4	1	8	1	9	7	4	10
10398	0	0	1	1	0	0	0	0	1	0	0	0	1	1
60436	2513	1980	2162	1965	2511	2340	2508	1537	2586	2224	1940	2044	2558	3886
100527943	2120	1668	1643	1850	2063	1834	2216	1469	2073	1948	1788	1958	2389	4052
107985397	2	3	1	2	5	1	2	1	0	2	3	2	2	5
55969	2216	1717	1693	1916	2147	1891	2303	1529	2150	2014	1873	2048	2493	4203
84174	266	233	194	225	232	221	269	199	208	185	214	229	270	428
